Voter,Rank1,Rank2,Rank3,Rank4
voter_1,a,b,c,d
voter_2,a,b,c,d
voter_3,a,b,c,d
voter_4,a,b,c,d
voter_5,a,b,c,d
voter_6,a,c,b,d
voter_7,a,c,b,d
voter_8,a,c,b,d
voter_9,a,c,b,d
voter_10,d,b,a,c
voter_11,d,b,a,c
voter_12,d,b,c,a
voter_13,d,b,c,a
voter_14,d,b,c,a
voter_15,d,b,c,a
voter_16,d,b,c,a
voter_17,d,b,c,a
voter_18,c,b,a,d
voter_19,c,b,a,d
voter_20,c,b,a,d
voter_21,c,b,a,d
voter_22,c,b,a,d
voter_23,c,b,a,d
voter_24,c,b,a,d
voter_25,c,b,a,d
voter_26,d,c,b,a
voter_27,d,c,b,a
